# japanese	english	jp_bytes	en_bytes	source=reuse
こっちじゃない	Not This Way	14	12	reuse
こっちじゃないぞ	Not This Way, Kid	16	17	reuse
こっちじゃないでしょ	Surely Not This Way	20	19	reuse
こっちじゃないよ	It's Not This Way	16	17	reuse
こっちじゃないわよ？	Not This Way, Is It?	20	20	reuse
こっちじゃねぇよ	Not This Way, Man	16	17	reuse
こねこにん名入力	Kitten name entry	16	17	reuse
こんな暑い中にずっといたら	Out in This Heat All Day	26	24	reuse
さあ、現代へ	Now, to the Present	12	19	reuse
さすらい包丁	Wandering Kitchen Knife	12	23	reuse
さまよい人	Wanderer	10	8	reuse
しばし待たれい	One moment.	14	11	reuse
しました	!	8	1	reuse
しもふり	Fine Meat	8	9	reuse
すじにく	Cheap Meat	8	10	reuse
すでに同じ内容のレシピを持っています	You already have that recipe.	36	29	reuse
すべては手のひらの上	All in the Palm	20	15	reuse
すんなり通りたいな	I'd Rather Slip By	18	18	reuse
そういえば、ソーディアンは？	By the Way, the Swordians?	28	26	reuse
そろそろ	About Time	8	10	reuse
そろそろ船が出港できるか？	Can the Ship Sail Yet?	26	22	reuse
つきあいの良い男	Good Company	16	12	reuse
つきつけられた現実	Reality Thrust Upon Me	18	22	reuse
でももヘチマも	No Buts About It	14	16	reuse
とうふ	Tofu	6	4	reuse
ときめきの旅路	Thrilling Journey	14	17	reuse
とにかく甲板に行こう！	Just Get to the Deck!	22	21	reuse
とらわれの姫	Captive Princess	12	16	reuse
どうすれば元の世界に	How to Get Home	20	15	reuse
どこかにお宝が	Treasure Somewhere	14	18	reuse
なぜ知っている!?	How Do You Know!?	16	17	reuse
ねこにんの村	Katz Village	12	12	reuse
の料理に失敗しました	was a failure.	20	14	reuse
はこれ以上持てません	can't be carried anymore.	20	25	reuse
は捨てられません	can't be discarded.	16	19	reuse
は無くなりました	is all gone.	16	12	reuse
ひそかな特技	Secret Talent	12	13	reuse
ひと休み	A Rest	8	6	reuse
ひと息	A Breather	6	10	reuse
ふたつのペンダント	Two Pendants	18	12	reuse
ふたつの運命	Two Destinies	12	13	reuse
ふつう	Normal	6	6	reuse
ふられマン	Dumped Man	10	10	reuse
ふられマンＮＥＯ	Dumped Man NEO	16	14	reuse
ほかの街へ	To Another Town	10	15	reuse
またまたふられマン	Dumped Man Again	18	16	reuse
まねきネコ	Fortune Cat	10	11	reuse
まばゆい白の中で	In Dazzling White	16	17	reuse
まわり道	Detour	8	6	reuse
みそおでん	Miso Stew	10	9	reuse
みんなナイスガイになった	Everyone became a nice guy!	24	27	reuse
みんな満腹です	Everyone is full.	14	17	reuse
もし、あたしが捕まったら	If I Get Caught	24	15	reuse
やすらぎとの別れ	Farewell to Peace	16	17	reuse
ゆがむ世界	Warping World	10	13	reuse
よし、いくぜ！	Let's go!	14	9	reuse
よやく３	Reserve 3	8	9	reuse
わたしだけの英雄	My Own Hero	16	11	reuse
を料理しました	is ready!	14	9	reuse
を習得	gained	6	6	reuse
アイアングローブ	Iron Gloves	16	11	reuse
アイウエオ	Alphabetical	10	12	reuse
アイグレッテ	Aigrette	12	8	reuse
アイグレッテに向かうには	How to Reach Aigrette	24	21	reuse
アイグレッテ・倉庫	Aigrette - Warehouse	18	20	reuse
アイグレッテ港	Port Aigrette	14	13	reuse
アイグレッテ港は反対だ	Aigrette Port Is Opposite	22	25	reuse
アイスコフィン	Ice Coffin	14	10	reuse
アイスバーグ	Iceberg	12	7	reuse
アイテム	Items	8	5	reuse
アイテムの説明	Item Description	14	16	reuse
アイテムコレクター	Item Collector	18	14	reuse
アイテム使用硬直時間減少	Reduces delay after using an item	24	33	reuse
アイテム取得確率上昇	Item drop rate UP	20	17	reuse
アイテム数２０個	Item Cap 20	16	11	reuse
アイテム数３０個	Item Cap 30	16	11	reuse
アイボリー	Ivory	10	5	reuse
アキュレイト	Accurate	12	8	reuse
アクアスパイク	Aqua Spike	14	10	reuse
アクアマリン	Aquamarine	12	10	reuse
アクアマント	Aqua Cape	12	9	reuse
アクアリムス	Aquarimus	12	9	reuse
アクアヴェイル	Aquaveil	14	8	reuse
アクエリアス	Aquarius	12	8	reuse
アクション	Action	10	6	reuse
アクス	Axe	6	3	reuse
アクティブ	Active	10	6	reuse
アコライト	Acolyte	10	7	reuse
アサルト	Assault	8	7	reuse
アジリティ	Agile	10	5	reuse
アタック	Attack	8	6	reuse
アタックレベル	Attack Level	14	12	reuse
アップルグミ	Apple Gel	12	9	reuse
アデプト	Adept	8	5	reuse
アトワイト救出成功	Atwight Rescued	18	15	reuse
アバウンド	Abound	10	6	reuse
アバタール	Avatar	10	6	reuse
アポカリプス	Apocalypse	12	10	reuse
アマテラスの御霊	Spirit of Amaterasu	16	19	reuse
アマノムラクモ	Heaven's Cloud	14	14	reuse
アメジスト	Amethyst	10	8	reuse
アラバスター	Alabaster	12	9	reuse
アルカイック	Archaic	12	7	reuse
アルカディア	Arcadia	12	7	reuse
アルケミスト	Alchemist	12	9	reuse
アルテミス	Artemis	10	7	reuse
アルルカン	Arlequin	10	8	reuse
アレンジ	Arrange	8	7	reuse
アレンジシェフ	Original Chef	14	13	reuse
アロンダイト	Arondight	12	9	reuse
アワーグラス	Hourglass	12	9	reuse
アンセム	Anthem	8	6	reuse
アンチドート	Antidote	12	8	reuse
アンバー	Amber	8	5	reuse
アヴォイド	Avoid	10	5	reuse
アークウインド	Arc Wind	14	8	reuse
アーケイン	Arcane	10	6	reuse
アース	Earth	6	5	reuse
アーステッパー	Earth Stampede	14	14	reuse
アースリンク	Earth Link	12	10	reuse
アーティスト	Artist	12	6	reuse
アーデント	Ardent	10	6	reuse
アーネスト	Earnest	10	7	reuse
アーマード	Armored	10	7	reuse
アームド	Armed	8	5	reuse
アーメット	Armet	10	5	reuse
イカ	Squid	4	5	reuse
イクシフォスラー	Ixifoslar	16	9	reuse
イグニス	Ignis	8	5	reuse
イグノランス	Ignorance	12	9	reuse
イセベルグ	Iceberg	10	7	reuse
イゾルデ	Iseult	8	6	reuse
イチゴ	Strawberry	6	10	reuse
イノセンス	Innocence	10	9	reuse
イフリート	Efreet	10	6	reuse
イベイション	Evasion	12	7	reuse
イベント	Event	8	5	reuse
イベントボイス	Event Voice	14	11	reuse
イルミネイト	Illuminate	12	10	reuse
イレイザー	Eraser	10	6	reuse
イワシ	Sardine	6	7	reuse
インサイト	Insight	10	7	reuse
インスペクト	Inspect	12	7	reuse
インディグネイト・ジャッジメント	Indignate Judgment	32	18	reuse
インビジブル	Invisible	12	9	reuse
インブレイスエンド	Final Embrace	18	13	reuse
インプレス	Impress	10	7	reuse
インヴァリド	Invalid	12	7	reuse
イーサー	Aether	8	6	reuse
イージー	Easy	8	4	reuse
イービルスフィア	Evil Sphere	16	11	reuse
ウィザード	Wizardess	10	9	reuse
ウィズダム	Wisdom	10	6	reuse
ウィッチドレス	Witch Dress	14	11	reuse
ウィンディ	Windy	10	5	reuse
ウィンドウカラー	Window Color	16	12	reuse
ウィンドスラッシュ	Wind Slash	18	10	reuse
ウィークチェック	Weak Charm	16	10	reuse
ウィークン	Weakened	10	8	reuse
ウイングドブーツ	Winged Boots	16	12	reuse
ウインドシア	Wind Shear	12	10	reuse
ウインドフォース	Wind Force	16	10	reuse
ウインドブレーカー	Windbreaker	18	11	reuse
ウェア	Wear	6	4	reuse
ウェイレイ	Waylay	10	6	reuse
ウェットスーツ	Wetsuit	14	7	reuse
ウェディングドレス	Wedding Dress	18	13	reuse
ウェルキン	Welkin	10	6	reuse
ウェルス	Wealth	8	6	reuse
ウェルフェア	Welfare	12	7	reuse
ウォリア	Warrior	8	7	reuse
ウォーター	Water	10	5	reuse
ウォーハンマー	War Hammer	14	10	reuse
ウォーボウ	War Bow	10	7	reuse
ウォーミング	Warming	12	7	reuse
ウッドロウに報告	Report to Woodrow	16	17	reuse
ウッドロウに真相を	The Truth for Woodrow	18	21	reuse
ウッドロウ王はいずこ	Where Is King Woodrow?	20	22	reuse
ウルヴァリン	Wolverine	12	9	reuse
ウロボロス	Uroboros	10	8	reuse
ウンディーネ	Undine	12	6	reuse
ウーリー	Wool	8	4	reuse
エアプレッシャー	Air Pressure	16	12	reuse
エアリアル	Aerial	10	6	reuse
エイセンケン	Eisenken	12	8	reuse
エイミング	Aiming	10	6	reuse
エウロス	Eurus	8	5	reuse
エキスパート	Expert	12	6	reuse
エクスカリバー	Excalibur	14	9	reuse
エクスプレス	E.P.	12	4	reuse
エクセキューション	Execution	18	9	reuse
エクセレント	Excellent	12	9	reuse
エスケープ	Escape	10	6	reuse
エステマの種	Estima Seed	12	11	reuse
エスペランサー	Esperanza	14	9	reuse
エデンズファイア	Eden's Fire	16	11	reuse
エナジー	Energy	8	6	reuse
エビ	Prawn	4	5	reuse
エビチリ	Chili Prawn	8	11	reuse
エピデミック	Epidemic	12	8	reuse
エプロンドレス	Apron Dress	14	11	reuse
エボニー	Ebony	8	5	reuse
エメラルドリング	Emerald Ring	16	12	reuse
エランド	Errand	8	6	reuse
エリクシール	Elixir	12	6	reuse
エリート	Elite	8	5	reuse
エルエレエロ	Elleelero	12	9	reuse
エルドラド	El Dorado	10	9	reuse
エルレインを追え	Chase Elrane	16	12	reuse
エルレイン間近？	Elrane Is Close?	16	16	reuse
エルヴン	Elven	8	5	reuse
エルヴンブーツ	Elven Boots	14	11	reuse
エルヴンマント	Elven Cape	14	10	reuse
エレベーターが戻るまで	Until the Lift Returns	22	22	reuse
エレメンタル	Elemental	12	9	reuse
エンカウント	Encounter	12	9	reuse
エンカウント不能	Cannot battle.	16	14	reuse
エンカウント無効	No Encounters	16	13	reuse
エンシェント	Ancient	12	7	reuse
エンシェントノヴァ	Ancient Nova	18	12	reuse
エンジェル	Angel	10	5	reuse
エンジェルブレスレット	Angel Bracelet	22	14	reuse
エンジェルリング	Angel Ring	16	10	reuse
エンチャント	Enchant	12	7	reuse
エンチャント引継ぎ	Carry Enchants	18	14	reuse
エンペラー	Emperor	10	7	reuse
エンライト	Enlight	10	7	reuse
エンヴィセイジ	Envisage	14	8	reuse
エーテル	Ether	8	5	reuse
オクトスラッシャー	Octo-Slasher	18	12	reuse
オトコオンナ	Manly Woman	12	11	reuse
オニキス	Onyx	8	4	reuse
オフ	Off	4	3	reuse
オプティマム	Optimum	12	7	reuse
オベロン	Oberon	8	6	reuse
オベロン社の残したもの	What Oberon Left	22	16	reuse
オベロン社廃坑	Oberon Mine	14	11	reuse
オベロン社廃坑へ	To the Oberon Mine	16	18	reuse
オムライス	Rice Omelet	10	11	reuse
オヤッ？　オヤツ？	Huh? A Snack?	18	13	reuse
オリオラの種	Oriola Seed	12	11	reuse
オリジナル必殺技	Original Finisher	16	17	reuse
オリハルコン	Orichalcum	12	10	reuse
オレンジグミ	Orange Gel	12	10	reuse
オン	On	4	2	reuse
オンスロート	Onslaught	12	9	reuse
オーカー	Ochre	8	5	reuse
オーガー	Ogre	8	4	reuse
オーサム	Awesome	8	7	reuse
オーダー	Order	8	5	reuse
オート	Auto	6	4	reuse
オートクレール	Halteclere	14	10	reuse
オート設定	Auto Set	10	8	reuse
オート重複時設定	Auto-Cook Overlap	16	17	reuse
オーネイト	Ornate	10	6	reuse
オーバーロード	Overlord	14	8	reuse
オーラ	Aura	6	4	reuse
オールディバイド	All-Divide	16	10	reuse
カイザー	Kaiser	8	6	reuse
カイル	Kyle	6	4	reuse
カイロ	Cairo	6	5	reuse
カオティック	Chaotic	12	7	reuse
カクテルドレス	Cocktail Dress	14	14	reuse
カスク	Casque	6	6	reuse
カスタム	Custom	8	6	reuse
カタコンベ	Catacombs	10	9	reuse
カタストロフ	Catastrophe	12	11	reuse
カタール	Katar	8	5	reuse
カッパバクソウゲキ	Kappabakusogeki	18	15	reuse
カトラス	Cutlass	8	7	reuse
カドゥケウス	Caduceus	12	8	reuse
カメラＬＲ回転	Camera L/R	14	10	reuse
カモミール	Chamomile	10	9	reuse
カラドボルグ	Caladbolg	12	9	reuse
カルビオラ	Kalviola	10	8	reuse
カルビオラへ	To Kalviola	12	11	reuse
カルラ	Karura	6	6	reuse
カレンゲキ	Karengeki	10	9	reuse
カレージャス	Courageous	12	10	reuse
カントリーウェア	Country Wear	16	12	reuse
カンナ	Sander	6	6	reuse
カンナギの装束	Kannagi Costume	14	15	reuse
カーディナル	Cardinal	12	8	reuse
カーネイジ	Carnage	10	7	reuse
カーネリアン	Carnelian	12	9	reuse
カーボン	Carbon	8	6	reuse
カーミング	Calming	10	7	reuse
ガイア	Gaia	6	4	reuse
ガイザー	Beguile	8	7	reuse
ガイデッド	Guided	10	6	reuse
ガラスの中のひな鳥	Chick in Glass	18	14	reuse
ガラティン	Gallatin	10	8	reuse
ガルド	Gald	6	4	reuse
ガルムの牙	Garm's Fang	10	11	reuse
ガレンセン	Garensen	10	8	reuse
ガレンソウハジン	Garen Sohajin	16	13	reuse
ガンザンメッサイジン	Ganzan Messaijin	20	16	reuse
ガントレット	Gauntlets	12	9	reuse
ガンビット	Gambit	10	6	reuse
ガーゴイル	Gargoyle	10	8	reuse
ガーディアン	Guardian	12	8	reuse
ガードストライクしやすくなる	Easier to Guard Strike	28	22	reuse
ガード時にガルドが増える	Earn Gald when guarding	24	23	reuse
ガード時に回避上昇	Increases Evasion while guarding	18	32	reuse
ガード時に詠唱速度上昇	Raises Casting Speed while guarding	22	35	reuse
ガード時に防御上昇	Increases Defense while guarding	18	32	reuse
ガード時にＳＰが回復	Recover SP while guarding	20	25	reuse
ガード時にＴＰが回復	Recover TP while guarding	20	25	reuse
ガーランド	Garland	10	7	reuse
キウイ	Kiwi	6	4	reuse
キッチンミトン	Oven Mitts	14	10	reuse
キャベツ	Cabbage	8	7	reuse
キャラ	Char	6	4	reuse
キャラペイス	Carapace	12	8	reuse
キュア	Cure	6	4	reuse
キュアオール	Cure-All	12	8	reuse
キュウリ	Cucumber	8	8	reuse
キュロット	Culotte	10	7	reuse
キューティ	Cutie	10	5	reuse
キューティウェイトレス	Cute Waitress	22	13	reuse
キューティミトン	Cute Mittens	16	12	reuse
キョウエイソウ	Kyoueisou	14	9	reuse
キルト	Kilt	6	4	reuse
キルトアーマー	Kilt Armor	14	10	reuse
ギサルメ	Gisarme	8	7	reuse
ギャラクシー	Galaxy	12	6	reuse
クァンタム	Quantum	10	7	reuse
クイズ本	Quiz Book	8	9	reuse
クイズ王	Quiz King	8	9	reuse
クウショウザン	Kushozan	14	8	reuse
クウハゼップウゲキ	Kuha Zeppugeki	18	14	reuse
クウハトッコウダン	Kuhatokkodan	18	12	reuse
クオリティ	Quality	10	7	reuse
ククリ	Khukuri	6	7	reuse
クシャミ	Sneeze	8	6	reuse
クラウン	Crown	8	5	reuse
クラッシュ	Crush	10	5	reuse
クラッシュガスト	Crushing Gust	16	13	reuse
クラフトマン	Craftsman	12	9	reuse
クリス	Kris	6	4	reuse
クリスタル	Crystal	10	7	reuse
クリティカル	Critical	12	8	reuse
クリティカル率が上昇する	Increases Critical rate	24	23	reuse
クリムゾン	Crimson	10	7	reuse
クリームシチュー	Cream Stew	16	10	reuse
クリーヴァ	Cleaver	10	7	reuse
クルセイダー	Crusader	12	8	reuse
クレイジーコメット	Crazy Comet	18	11	reuse
クレイモア	Claymore	10	8	reuse
クレスタの街	Cresta	12	6	reuse
クレスタ～アイグレッテ	Cresta to Aigrette	22	18	reuse
クレスト	Crest	8	5	reuse
クレセント	Crescent	10	8	reuse
クレバー	Clever	8	6	reuse
クレリック	Cleric	10	6	reuse
クロスブレイド	Cross Blade	14	11	reuse
クロスヘルム	Close Helm	12	10	reuse
クローク	Cloak	8	5	reuse
クードグレイス	Coup de Grace	14	13	reuse
クールウェイター	Cool Waiter	16	11	reuse
クールパイロット	Cool Pilot	16	10	reuse
グッドウィル	Goodwill	12	8	reuse
グッドウェイター	Good Waiter	16	11	reuse
グミ嫌い	I Hate Gels!	8	12	reuse
グラスプ	Grasp	8	5	reuse
グラディウス	Gladius	12	7	reuse
グラニット	Granite	10	7	reuse
グランドクラウン	Grand Crown	16	11	reuse
グランドシェフ	Grand Chef	14	10	reuse
グランドセプター	Grand Scepter	16	13	reuse
グランドチャンピオン	Grand Champion	20	14	reuse
グランドファーザー	Grandfather	18	11	reuse
グランドプレート	Grand Plate	16	11	reuse
グランドヘルム	Grand Helm	14	10	reuse
グランヴァニッシュ	Ground Vanish	18	13	reuse
グリズリー	Grizzly	10	7	reuse
グリフィン	Griffin	10	7	reuse
グリフィンズタロン	Griffin's Talon	18	15	reuse
グリムアクス	Grimm's Axe	12	11	reuse
グリムクレスト	Grimm's Crest	14	13	reuse
グリムグローブ	Grimm's Gloves	14	14	reuse
グリムソード	Grimm's Sword	12	13	reuse
グリムブーツ	Grimm's Boots	12	13	reuse
グリムプレート	Grimm's Plate	14	13	reuse
グリムヘルム	Grimm's Helm	12	12	reuse
グリムボウ	Grimm's Bow	10	11	reuse
グリムワンド	Grimm's Wand	12	12	reuse
グリークファイア	Greek Fire	16	10	reuse
グリーヴ	Greaves	8	7	reuse
グレイシャル	Glacial	12	7	reuse
グレイトウェイター	Great Waiter	18	12	reuse
グレネード	Grenade	10	7	reuse
グレムリン	Gremlin	10	7	reuse
グレートヘルム	Great Helm	14	10	reuse
グロッギー	Groggy	10	6	reuse
グローブ	Gloves	8	6	reuse
グローリアス	Glorious	12	8	reuse
グーングニル	Gungnir	12	7	reuse
ケセラセラ	Que Sera Sera	10	13	reuse
ケルビム	Cherubim	8	8	reuse
ケープ	Cape	6	4	reuse
ゲイボルグ	Gae Bolg	10	8	reuse
ゲイル	Gale	6	4	reuse
ゲッセンコウ	Gessenko	12	8	reuse
ゲットアイテム	Get Item	14	8	reuse
ゲンエイジン	Gen'eijin	12	9	reuse
ゲームをやめる	Return to title menu	14	20	reuse
ゲームクリアおめでとうございます！	Congratulations on clearing the game!	34	37	reuse
コインに願いを込めて	Wish Upon a Coin	20	16	reuse
コカトリス	Cockatrice	10	10	reuse
コクウセン	Kokuusen	10	8	reuse
コズミック	Cosmic	10	6	reuse
コットン	Cotton	8	6	reuse
コマチ	Komachi	6	7	reuse
コルセスカ	Corsesca	10	8	reuse
コレクター図鑑	Collector's Book	14	16	reuse
コロッサス	Colossus	10	8	reuse
コンゴウラカン	Kongourakan	14	11	reuse
コンシャス	Conscious	10	9	reuse
コンジャラー	Conjurer	12	8	reuse
コンテナの押し方	How to Push Containers	16	22	reuse
コンテナマスター	Container Master	16	16	reuse
コンバットブーツ	Combat Boots	16	12	reuse
コンフォート	Comfort	12	7	reuse
コンボコマンド	Combo Command	14	13	reuse
コンボハンター	Combo Hunter	14	12	reuse
コンボマスター	Combo Commander	14	15	reuse
コンボ命	Combo Life	8	10	reuse
コンポジット	Composite	12	9	reuse
コンポジットボウ	Composite Bow	16	13	reuse
コーラル	Coral	8	5	reuse
コールド	Cold	8	4	reuse
ゴシックアクス	Gothic Axe	14	10	reuse
ゴシックガントレット	Gothic Gauntlets	20	16	reuse
ゴシックサークレット	Gothic Circlet	20	14	reuse
ゴシックソード	Gothic Sword	14	12	reuse
ゴシックブーツ	Gothic Boots	14	12	reuse
ゴシックプレート	Gothic Plate	16	12	reuse
ゴシックヘルム	Gothic Helm	14	11	reuse
ゴシックボウ	Gothic Bow	12	10	reuse
ゴシックマント	Gothic Cape	14	11	reuse
ゴシックメイス	Gothic Mace	14	11	reuse
ゴッドブレス	God's Breath	12	12	reuse
ゴホウレン	Gohouren	10	8	reuse
ゴージャスサラダ	Gorgeous Salad	16	14	reuse
ゴージャスマント	Gorgeous Cape	16	13	reuse
ゴージャス孤児院	Gorgeous Orphanage	16	18	reuse
ゴールデンヘルム	Golden Helm	16	11	reuse
ゴールドアーマー	Gold Armor	16	10	reuse
ゴールドブレスレット	Golden Bracelet	20	15	reuse
ゴーレム	Golem	8	5	reuse
サイクロン	Cyclone	10	7	reuse
サウンド	Sound	8	5	reuse
サウンドテスト	Sound Test	14	10	reuse
サッキュバス	Succubus	12	8	reuse
サバイバル	Survival	10	8	reuse
サファイア	Sapphire	10	8	reuse
サフラン	Saffron	8	7	reuse
サラサ	Sarasa	6	6	reuse
サラマンダー	Salamander	12	10	reuse
サラマンダーブレス	Salamander's Breath	18	19	reuse
サレット	Sallet	8	6	reuse
サンクタム	Sanctum	10	7	reuse
サンダーソード	Thunder Sword	14	13	reuse
サンドイッチ	Sandwich	12	8	reuse
サンドラの槍	Sandra's Spear	12	14	reuse
サヴェイジ	Savage	10	6	reuse
サークレット	Circlet	12	7	reuse
サーベル	Saber	8	5	reuse
ザコを蹴散らせ	Steamroller	14	11	reuse
シアリング	Searing	10	7	reuse
シアン	Cyan	6	4	reuse
シェイド	Shade	8	5	reuse
シケット	Thicket	8	7	reuse
システム	System	8	6	reuse
シックウレンサツケン	Shikkurensatsuken	20	17	reuse
シナリオ名称入力予約３	Scenario Name Reserve 3	22	23	reuse
シミター	Scimitar	8	8	reuse
シャイニングスピア	Shining Spear	18	13	reuse
シャケ	Salmon	6	6	reuse
シャドウ	Shadow	8	6	reuse
シャドウエッジ	Shadow Edge	14	11	reuse
シャドウファング	Shadowfang	16	10	reuse
シャムシール	Shamshir	12	8	reuse
シャークトゥース	Shark Tooth	16	11	reuse
シャープ	Sharp	8	5	reuse
シャーマン	Shaman	10	6	reuse
シュラハトフェルト	Schlachtfeld	18	12	reuse
ショックウェイブ	Shockwave	16	9	reuse
シリングフォール	Ceiling Fall	16	12	reuse
シルエット	Silhouette	10	10	reuse
シルキー	Silk	8	4	reuse
シルバーケープ	Silver Cape	14	11	reuse
シルフィ	Sylph	8	5	reuse
シルフィスティア	Sylphistia	16	10	reuse
シルフィマント	Sylph Cape	14	10	reuse
シルヴァン	Sylvan	10	6	reuse
シンキング	Thinking	10	8	reuse
シンクウカッサイジン	Shinkuukassaijin	20	16	reuse
シンクレア	Sinclaire	10	9	reuse
シーア	Sheer	6	5	reuse
シージボウ	Siege Bow	10	9	reuse
シースドレス	Sheath Dress	12	12	reuse
シーダースタッフ	Cedar Staff	16	11	reuse
シーブズマント	Thief's Cape	14	12	reuse
ジアースマント	Earth Cape	14	10	reuse
ジェスター	Jester	10	6	reuse
ジェットブーツ	Jet Boots	14	9	reuse
ジェネラル	General	10	7	reuse
ジェノサイド	Genocide	12	8	reuse
ジャイアント	Giant	12	5	reuse
ジャガイモ	Potato	10	6	reuse
ジャスティス	Justice	12	7	reuse
ジャックフロスト	Jack Frost	16	10	reuse
ジャムトースト	Toast with Jam	14	14	reuse
ジューダス	Judas	10	5	reuse
ジョニーの楽器	Instruments belonging to Johnny.	14	32	reuse
ジーラス	Zealous	8	7	reuse
ジーンチップ	Gene Chip	12	9	reuse
スイートパフェ	Sweet Parfait	14	13	reuse
スウィフト	Swift	10	5	reuse
スウィート	Sweet	10	5	reuse
スカウト	Scout	8	5	reuse
スカウトオーブ	Scout Orb	14	9	reuse
スカル	Skull	6	5	reuse
スカーレット	Scarlet	12	7	reuse
スカーレットニードル	Scarlet Needle	20	14	reuse
スキル	Skill	6	5	reuse
スキルフル	Skillful	10	8	reuse
スキルレベル	Skill Level	12	11	reuse
スクラマサクス	Scramasax	14	9	reuse
スクリーンチャット字幕	Screen Chat Subtitles	22	21	reuse
スクワイア	Squire	10	6	reuse
スケイルメイル	Scale Mail	14	10	reuse
スコップ	Shovel	8	6	reuse
スサノオの兜	Susanowo's Helmet	12	17	reuse
スタッフ	Staff	8	5	reuse
スタッフィ	Stuffy	10	6	reuse
スタビリティ	Stability	12	9	reuse
スタンプカード	Stamp Card	14	10	reuse
スタンプラリーマスター	Stamp Rally Master	22	18	reuse
スター	Star	6	4	reuse
スターグローブ	Star Gloves	14	11	reuse
スターダスト	Stardust	12	8	reuse
スターダストストリーム	Stardust Stream	22	15	reuse
スターブレスレット	Star Bracelet	18	13	reuse
スティレット	Stiletto	12	8	reuse
スティングレイブ	Sting Rave	16	10	reuse
スティール	Steel	10	5	reuse
ステイシス	Stasis	10	6	reuse
ステキアイテム引継ぎ	Carry Rare Items	20	16	reuse
ステップ	Step	8	4	reuse
ステンレスのフライパン	Stainless Frying Pan	22	20	reuse
ステーキ	Steak	8	5	reuse
ステータス	Status	10	6	reuse
ステータス異常を防ぐ確率上昇	Increases status ailment resistance	28	35	reuse
ストライク	Strike	10	6	reuse
ストライクイーグル	Strike Eagle	18	12	reuse
ストライプ	Striped	10	7	reuse
ストレイライズ大神殿	Straylize Temple	20	16	reuse
ストレイライズ遺跡へ	To Straylize Ruins	20	18	reuse
ストレングス	Strength	12	8	reuse
ストレンジ	Strange	10	7	reuse
ストロング	Strong	10	6	reuse
ストーム	Storm	8	5	reuse
ストームブリンガー	Stormbringer	18	12	reuse
ストーンザッパー	Stone Zapper	16	12	reuse
スナッチャー	Snatcher	12	8	reuse
スノーフリア	Snowfria	12	8	reuse
スパイカー	Spiker	10	6	reuse
スパイダー	Spider	10	6	reuse
スパイト	Spite	8	5	reuse
スパイラルケイブ	Spiral Cave	16	11	reuse
スパイラルケイブに	To Spiral Cave	18	14	reuse
スピリッツ	Spirit	10	6	reuse
スピリット	Spirit	10	6	reuse
スプライト	Sprite	10	6	reuse
スプラッシュ	Splash	12	6	reuse
スプリント	Sprint	10	6	reuse
スプリントメイル	Splint Mail	16	11	reuse
スプレッド	Spread	10	6	reuse
